Created Date			 Comments
2018-06-21T13:30:22Z			my pr was accepted, so `generate_tokens` is documented for python 3.8. https://docs.python.org/3.8/library/tokenize.html#tokenize.generate_tokens 
2018-01-27T09:54:01Z			would it make sense to put these two lines inside the `error_before_exec` closure? 
2018-02-12T14:27:02Z			ping @minrk  
2018-01-27T09:54:01Z			would it make sense to put these two lines inside the `error_before_exec` closure? 
2018-02-12T14:27:02Z			ping @minrk  
2018-03-09T13:00:06Z			i'd prefer an `if`; it feels strange to throw an error only to immediately catch it again. 
2018-03-09T13:00:15Z			don't forget to update the message. 
2018-04-28T20:10:16Z			i don't think we need this check - the warnings module already takes care of only printing a warning the first time it occurs. 
2018-03-09T13:00:06Z			i'd prefer an `if`; it feels strange to throw an error only to immediately catch it again. 
2018-03-09T13:00:15Z			don't forget to update the message. 
2018-04-28T20:10:16Z			i don't think we need this check - the warnings module already takes care of only printing a warning the first time it occurs. 
